证监会行业门类代码_Csrciccd1,证监会行业门类名称_Csrcicnm1,日期_Date,Alpha_流通市值加权_Alpha_tmv,市场溢酬因子,R方_流通市值加权_R2_tmv,调整R方_流通市值加权_R2adj_tmv,Alpha_总市值加权_Alpha_mc,风险因子_总市值加权_Beta_mc,R方_总市值加权_R2_mc,调整R方_总市值加权_R2adj_mc
Q,卫生和社会工作,2010/12/31,0.00310092,0.9696,0.184478,0.181037,0.00317079,1.0025,0.194167,0.190767
Q,卫生和社会工作,2011/12/30,-0.00059994,0.9878,0.520376,0.518386,0.00013835,1.0226,0.515169,0.513157
Q,卫生和社会工作,2012/12/31,-0.00037771,0.9379,0.520902,0.518914,-0.00082496,0.9673,0.534874,0.532944
Q,卫生和社会工作,2013/12/31,0.00281746,1.105,0.261764,0.258636,0.0028796,1.1015,0.275981,0.272914
Q,卫生和社会工作,2014/12/31,0.00020156,0.6743,0.105035,0.101352,0.00013105,0.7385,0.13064,0.127062
Q,卫生和社会工作,2015/12/31,0.00256677,1.0435,0.470111,0.467921,0.00243411,1.0515,0.489667,0.487558
Q,卫生和社会工作,2016/12/30,-0.00002516,1.0573,0.752671,0.751649,-0.00015277,1.048,0.746312,0.745264
Q,卫生和社会工作,2017/12/29,0.00049941,1.0564,0.377987,0.375416,0.00083903,1.0225,0.370348,0.367747
Q,卫生和社会工作,2018/12/28,0.00194112,1.159,0.449504,0.44722,0.00156009,1.147,0.482193,0.480044
Q,卫生和社会工作,2019/12/31,0.00126603,0.8946,0.436908,0.434581,0.00122651,0.8648,0.430773,0.428421
Q,卫生和社会工作,2020/12/31,0.0022816,1.0052,0.464153,0.46193,0.00225803,0.9933,0.462366,0.460135
Q,卫生和社会工作,2021/12/31,-0.00126087,1.5516,0.300388,0.297485,-0.00116377,1.5392,0.303781,0.300892
R,文化、体育和娱乐业,2010/12/31,0.00114487,1.0034,0.449563,0.44727,0.00067813,0.9951,0.492927,0.490814
R,文化、体育和娱乐业,2011/12/30,0.00062033,1.2056,0.596495,0.594828,0.00046515,1.2048,0.58669,0.584983
R,文化、体育和娱乐业,2012/12/31,-0.00068568,1.2675,0.706159,0.704939,-0.00066536,1.2996,0.715876,0.714697
R,文化、体育和娱乐业,2013/12/31,0.00315565,1.1841,0.31187,0.308954,0.00272574,1.2399,0.340066,0.337269
R,文化、体育和娱乐业,2014/12/31,-0.00096279,0.9544,0.283971,0.281024,-0.00103862,1.0157,0.319618,0.316818
R,文化、体育和娱乐业,2015/12/31,0.00131275,1.2093,0.76755,0.76659,0.00176714,1.2079,0.785233,0.784345
R,文化、体育和娱乐业,2016/12/30,-0.00066499,1.2628,0.873995,0.873474,-0.00068144,1.2449,0.875164,0.874648
R,文化、体育和娱乐业,2017/12/29,-0.00134302,1.0596,0.497938,0.495864,-0.00125188,1.1621,0.611339,0.609733
R,文化、体育和娱乐业,2018/12/28,-0.00063804,1.085,0.68428,0.68297,-0.0005271,1.1147,0.73929,0.738208
R,文化、体育和娱乐业,2019/12/31,-0.0008022,1.1553,0.746519,0.745472,-0.00071563,1.1495,0.776455,0.775531
R,文化、体育和娱乐业,2020/12/31,-0.00101659,1.0439,0.699543,0.698296,-0.00085634,1.0388,0.697943,0.69669
R,文化、体育和娱乐业,2021/12/31,0.00007732,0.5773,0.201766,0.198454,-0.00013414,0.6431,0.221703,0.218474
